SITENAME,BCF-Sector,Solution Type,Site Type,Blended Congestion,Lat,Lon,Town,Province,ACL,Azimuth,Beam Width,Length
TCPHTC7APLAYADIGOSDDS,TCPHTC7APLAYADIGOSDDS-3,MACRO,MACRO,GREEN,6.738498,125.369381,DAVAO DEL SUR,DIGOS CITY (CAPITAL),29,220,40,200
TCPHTLAMBAJOBAGANGDVOR,TCPHTLAMBAJOBAGANGDVOR-2,MACRO,MACRO,GREEN,7.610074,126.569196,DAVAO ORIENTAL,BAGANGA,30,80,40,200
TCPHTLANVISVILTAGUMDDN,TCPHTLANVISVILTAGUMDDN-2,MACRO,MACRO,GREEN,7.423605,125.790088,DAVAO DEL NORTE,TAGUM CITY (CAPITAL),40,100,40,200
TCPHTMBUHAYGENSANSCOT,TCPHTMBUHAYGENSANSCOT-2,MACRO,MACRO,GREEN,6.168239,125.150216,SOUTH COTABATO,GENERAL SANTOS CITY,29,90,40,200
TCPHTP4POBGLANSAR,TCPHTP4POBGLANSAR-2,MACRO,MACRO,GREEN,5.821413,125.202405,SARANGANI,GLAN,40,180,40,200
TCPHTP6CANUBOROQUIMOCC,TCPHTP6CANUBOROQUIMOCC-2,MACRO,MACRO,GREEN,8.497262,123.790242,MISAMIS OCCIDENTAL,OROQUIETA CITY (CAPITAL),39,130,40,200
TCPHTP7POBCOMPOSDDO,TCPHTP7POBCOMPOSDDO-3,MACRO,MACRO,GREEN,7.669764,126.0885,DAVAO DE ORO,COMPOSTELA,29,220,40,200
TCPHTPBATOPROPDAVAODDS,TCPHTPBATOPROPDAVAODDS-3,MACRO,MACRO,GREEN,7.372174,125.496199,DAVAO DEL SUR,DAVAO CITY,39,240,40,200
VERANZAMALL,VERANZAMALL-1,IBS,MACRO,GREEN,6.11615,125.188,SOUTH COTABATO,GENERAL SANTOS CITY,3,360,40,200
WMMC1ZAMBOAZDSID,WMMC1ZAMBOAZDSID-2,IBS,MACRO,GREEN,6.923365,122.079296,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,3,360,40,200
BANGKALPTKUL,BANGKALPTKUL-1,MACRO,MACRO,GREEN,6.050675,121.017707,SULU,PATIKUL,39,320,40,200
BANGKALPTKUL,BANGKALPTKUL-2,MACRO,MACRO,GREEN,6.050675,121.017707,SULU,PATIKUL,39,190,40,200
BANGKALPTKUL,BANGKALPTKUL-3,MACRO,MACRO,GREEN,6.050675,121.017707,SULU,PATIKUL,39,250,40,200
POLLOC,POLLOC-3,MACRO,MACRO,GREEN,7.335876,124.239161,MAGUINDANAO DEL NORTE,PARANG,45,190,40,200
SULTAN,SULTAN-3,MACRO,MACRO,GREEN,7.283379,124.303084,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,36,155,40,200
BOGOPAGZDS,BOGOPAGZDS-3,MACRO,MACRO,GREEN,7.865938,123.428997,ZAMBOANGA DEL SUR,PAGADIAN CITY (CAPITAL),39,290,40,200
NAPOL,NAPOL-3,MACRO,MACRO,GREEN,7.809424,123.416481,ZAMBOANGA DEL SUR,PAGADIAN CITY (CAPITAL),30,190,40,200
BOMBELTIGUMDIGOSDDS,BOMBELTIGUMDIGOSDDS-2,MACRO,MACRO,GREEN,6.759253,125.318864,DAVAO DEL SUR,DIGOS CITY (CAPITAL),29,115,40,200
